,Age,Gender,have_kids,Occupation_Business,Occupation_Engineer,Occupation_HR,Occupation_Manager,Occupation_Marketing ,Occupation_Recruiter,Occupation_Tutor,is_office_near_home
0,45,0,1,0,0,0,0,0,0,1,1
1,24,1,0,0,0,0,0,0,0,1,0
2,53,0,1,0,0,1,0,0,0,0,1
3,26,0,0,0,1,0,0,0,0,0,1
4,26,1,0,0,0,0,0,0,1,0,1
5,27,1,0,0,0,0,0,0,1,0,0
6,24,1,0,0,1,0,0,0,0,0,1
7,36,0,0,0,1,0,0,0,0,0,0
8,26,1,0,0,1,0,0,0,0,0,0
9,26,0,0,0,0,0,0,0,1,0,0
10,27,0,0,0,1,0,0,0,0,0,1
11,25,1,0,0,1,0,0,0,0,0,0
12,26,0,0,1,0,0,0,0,0,0,0
13,25,0,0,1,0,0,0,0,0,0,0
14,25,0,0,1,0,0,0,0,0,0,1
15,28,1,0,0,1,0,0,0,0,0,0
16,25,1,0,0,0,0,0,0,1,0,0
17,24,1,0,1,0,0,0,0,0,0,0
18,44,0,1,0,0,0,0,0,0,1,0
19,25,1,0,0,0,0,0,1,0,0,1
20,44,1,1,0,0,0,0,1,0,0,1
21,29,0,0,0,1,0,0,0,0,0,1
22,41,0,1,0,0,0,0,0,0,1,0
23,28,1,0,0,0,0,1,0,0,0,1
24,21,1,0,0,0,0,0,0,1,0,0
25,42,0,1,0,0,0,0,0,0,1,1
26,32,0,1,0,1,0,0,0,0,0,1
27,26,1,0,0,0,1,0,0,0,0,1
28,36,0,1,0,0,0,0,0,0,1,1
29,25,0,0,0,0,0,1,0,0,0,0
30,25,0,0,0,0,0,0,1,0,0,1
31,22,1,0,0,0,1,0,0,0,0,0
32,28,1,0,0,0,0,1,0,0,0,0
33,27,0,0,0,0,0,1,0,0,0,0
34,25,0,0,0,0,1,0,0,0,0,1
35,21,1,0,0,0,0,0,1,0,0,0
36,25,1,0,0,0,0,0,0,1,0,0
37,24,1,0,0,1,0,0,0,0,0,1
38,24,1,0,0,0,0,1,0,0,0,0
39,26,0,0,0,0,1,0,0,0,0,0
40,27,0,1,0,0,0,1,0,0,0,0
41,26,1,0,0,1,0,0,0,0,0,0
42,27,1,0,0,0,1,0,0,0,0,0
43,23,0,0,0,0,0,0,0,1,0,1
44,24,1,0,0,0,0,1,0,0,0,0
45,25,0,0,0,1,0,0,0,0,0,1
46,54,1,1,1,0,0,0,0,0,0,1
47,23,0,0,1,0,0,0,0,0,0,0
48,22,1,0,0,1,0,0,0,0,0,0
49,26,0,0,0,0,0,1,0,0,0,1
50,53,0,1,0,0,1,0,0,0,0,1
51,42,0,1,0,0,0,0,0,0,1,1
52,27,0,1,1,0,0,0,0,0,0,1
53,25,1,0,0,0,0,0,1,0,0,1
54,54,1,1,1,0,0,0,0,0,0,1
55,25,0,0,0,0,0,0,1,0,0,1
56,42,0,1,0,0,0,0,0,0,1,1
57,29,0,1,0,1,0,0,0,0,0,1
58,21,1,0,0,0,0,0,0,0,1,0
59,25,0,0,0,1,0,0,0,0,0,1
60,26,1,0,0,0,0,0,1,0,0,0
61,26,1,0,0,1,0,0,0,0,0,0
62,25,0,1,0,0,1,0,0,0,0,0
63,28,1,0,0,0,0,1,0,0,0,1
64,32,0,1,0,1,0,0,0,0,0,1
65,54,1,1,1,0,0,0,0,0,0,1
66,26,1,0,0,0,0,0,1,0,0,1
67,25,0,1,0,0,0,0,1,0,0,0
68,23,0,0,0,0,0,0,0,0,1,0
69,36,0,1,0,0,0,0,0,0,1,1
70,25,0,0,0,0,0,1,0,0,0,0
71,41,0,1,0,0,0,0,0,0,1,0
72,26,1,0,0,1,0,0,0,0,0,0
73,26,0,1,0,0,1,0,0,0,0,1
74,26,1,0,0,0,0,0,0,1,0,1
75,27,1,0,0,0,0,0,0,1,0,0
76,24,1,0,0,1,0,0,0,0,0,1
77,34,0,0,0,1,0,0,0,0,0,0
78,44,0,1,0,0,0,0,0,0,1,0
79,25,0,0,0,0,0,0,0,1,0,0
80,27,0,0,0,1,0,0,0,0,0,1
81,25,1,0,0,1,0,0,0,0,0,0
82,26,0,0,1,0,0,0,0,0,0,0
83,29,0,0,0,0,0,0,0,1,0,0
84,25,0,0,1,0,0,0,0,0,0,1
85,27,1,0,0,1,0,0,0,0,0,0
86,25,1,0,0,0,0,0,0,1,0,0
87,24,1,0,1,0,0,0,0,0,0,0
88,25,0,0,0,1,0,0,0,0,0,1
89,29,1,0,0,0,0,0,1,0,0,1
90,35,1,1,0,0,0,0,1,0,0,1
91,26,0,0,0,1,0,0,0,0,0,1
92,24,1,0,0,0,0,0,0,0,1,0
93,28,1,0,0,0,0,1,0,0,0,1
94,29,1,0,0,0,0,1,0,0,0,0
95,42,0,1,0,0,0,0,0,0,1,1
96,32,0,1,0,1,0,0,0,0,0,1
97,26,1,0,0,0,1,0,0,0,0,1
98,45,0,1,0,0,0,0,0,0,1,1
99,24,0,0,0,0,0,0,1,0,0,1
100,26,1,0,0,0,1,0,0,0,0,0
101,24,1,0,0,0,0,1,0,0,0,0
102,27,0,0,0,0,0,1,0,0,0,0
103,25,0,0,0,0,1,0,0,0,0,1
104,21,1,0,0,0,0,0,1,0,0,0
105,25,1,0,0,0,0,0,0,1,0,0
106,24,1,0,0,1,0,0,0,0,0,1
107,26,1,0,0,0,0,1,0,0,0,0
108,26,0,0,0,0,1,0,0,0,0,0
109,29,0,1,0,0,0,1,0,0,0,0
110,27,1,0,0,1,0,0,0,0,0,0
111,27,1,0,0,0,1,0,0,0,0,0
112,23,0,0,0,0,0,0,0,1,0,1
113,24,1,0,0,0,0,1,0,0,0,0
114,25,0,0,0,1,0,0,0,0,0,1
115,52,1,1,1,0,0,0,0,0,0,1
116,23,0,0,1,0,0,0,0,0,0,0
117,22,1,0,0,1,0,0,0,0,0,0
118,28,0,0,0,0,0,1,0,0,0,1
119,53,0,1,0,0,1,0,0,0,0,1
120,42,0,1,0,0,0,0,0,0,1,1
121,27,0,1,1,0,0,0,0,0,0,1
122,25,1,0,0,0,0,0,1,0,0,1
123,52,1,1,1,0,0,0,0,0,0,1
124,25,0,0,0,0,0,0,1,0,0,1
125,27,0,1,0,0,0,0,0,0,1,1
126,29,0,1,0,1,0,0,0,0,0,1
127,22,1,0,0,0,0,0,0,0,1,0
128,28,0,0,0,1,0,0,0,0,0,1
129,26,1,0,0,0,0,0,1,0,0,0
130,26,1,0,0,1,0,0,0,0,0,0
131,29,0,1,0,0,1,0,0,0,0,1
132,30,1,0,0,0,0,1,0,0,0,1
133,33,0,1,0,1,0,0,0,0,0,1
134,54,1,1,1,0,0,0,0,0,0,1
135,25,1,0,0,0,0,0,1,0,0,1
136,25,0,1,0,0,0,0,1,0,0,0
137,24,0,0,0,0,0,0,0,0,1,0
138,25,0,0,1,0,0,0,0,0,0,0
139,36,0,0,0,1,0,0,0,0,0,0
140,26,1,0,0,0,0,0,0,1,0,1
141,45,0,1,0,0,0,0,0,0,1,1
142,24,1,0,0,0,0,0,0,0,1,0
143,53,0,1,0,0,1,0,0,0,0,1
144,26,0,0,0,1,0,0,0,0,0,1
145,25,1,0,0,0,0,0,1,0,0,1
146,40,1,0,0,0,1,0,0,0,0,0
147,24,1,0,0,1,0,0,0,0,0,1
148,25,1,0,0,1,0,0,0,0,0,0
149,26,0,0,0,0,0,0,0,1,0,0
150,27,0,0,0,1,0,0,0,0,0,1
151,25,1,0,0,1,0,0,0,0,0,0
152,29,1,0,1,0,0,0,0,0,0,0
153,28,1,0,0,1,0,0,0,0,0,0
154,25,1,0,0,0,0,0,0,1,0,0
155,24,1,0,1,0,0,0,0,0,0,0
156,44,0,1,0,0,0,0,0,0,1,0
157,25,1,0,0,0,0,0,1,0,0,1
158,44,1,1,0,0,0,0,1,0,0,1
159,29,0,0,0,1,0,0,0,0,0,1
160,41,0,1,0,0,0,0,0,0,1,0
161,30,1,0,0,0,0,1,0,0,0,1
162,30,1,0,0,0,0,1,0,0,0,0
163,26,0,0,0,0,0,1,0,0,0,1
164,53,0,1,0,0,1,0,0,0,0,1
165,42,0,1,0,0,0,0,0,0,1,1
166,27,0,1,1,0,0,0,0,0,0,1
167,25,0,0,1,0,0,0,0,0,0,1
168,28,0,0,0,0,1,0,0,0,0,1
169,25,1,0,0,0,1,0,0,0,0,0
170,29,1,0,0,0,0,1,0,0,0,0
171,26,0,0,0,0,0,1,0,0,0,0
172,25,0,0,0,0,1,0,0,0,0,1
173,22,1,0,0,0,0,0,1,0,0,0
174,25,1,0,0,0,0,0,0,1,0,0
175,24,1,0,0,1,0,0,0,0,0,1
176,29,1,0,0,0,0,1,0,0,0,0
177,26,0,0,0,0,1,0,0,0,0,0
178,28,0,1,0,0,0,1,0,0,0,0
179,28,1,0,0,1,0,0,0,0,0,0
